,\delta p autocorr,direction autocorr,spread,trade_size_ave,trade_size_sum, Parks,Gk,TTM
2022-03-04 16:30:00,-0.4038385101091926,0.3650793650793651,0.0074777777778081,10861046890838.707,336692453616000.0,0.6685996113134072,1.1358784577128465,9674.872043010751
2022-03-04 17:00:00,0.107472457150462,-0.0714285714285713,0.0134199999999964,10922253303375.0,174756052854000.0,0.3450836703553069,0.5864957414146439,9644.446875
2022-03-04 17:30:00,-0.2187818027389592,-0.0666666666666666,0.0157999999999702,10961584036764.703,186346928625000.0,0.3666513997525136,0.6231127203443164,9617.916666666668
2022-03-07 09:30:00,-0.3662707415809377,0.5713152360134455,-0.0025519230769361,97088485176.47058,3301008496000.0,0.4451234673009674,0.7560851756824304,5773.645588235295
2022-03-07 10:00:00,-0.0975909539263951,0.6150093937543075,-0.0010091716830658,1114387976130.2014,830219042217000.0,12.502313652053886,21.23697433145209,5743.401700223713
2022-03-07 10:30:00,-0.1544829372311469,0.6191679947244059,0.0021089971477294,3316795546358.224,3286944386441000.0,17.63135309692209,29.949384578595357,5715.348570467541
2022-03-07 11:00:00,-0.0627992401883353,0.5854943583859252,0.0016289766662112,5336517378206.79,3458063261078000.0,12.58854555993494,21.383451615049854,5685.470318930041
2022-03-07 11:30:00,-0.4662924939682207,0.6031833475869135,0.0050097991467197,6783130493375.271,3127023157446000.0,8.955739973966061,15.212609353770926,5659.418618944324
2022-03-07 14:00:00,-0.027766386517751,0.5708074919557247,0.0068473538567985,7815202026818.472,2453973436421000.0,5.95534178454304,10.116001645438349,5504.34705882353
2022-03-07 14:30:00,-0.1021428523702432,0.656227925594537,0.0019668256194478,8734407022109.215,2559181257478000.0,5.955228300525671,10.115808876508634,5476.32707622298
2022-03-07 15:00:00,-0.1301828577188295,0.5394736842105272,0.0146409782607435,9457498694426.54,1995532224524000.0,4.304978674875219,7.312622310184531,5445.289968404423
2022-03-07 15:30:00,-0.0882718670615128,0.5647058823529414,0.0105021520803774,9816100391640.0,736207529373000.0,1.5364796020058855,2.609925173134154,5418.828222222222
2022-03-07 16:00:00,0.2847882571190826,0.3785654988301422,0.0011504347825734,9985913487069.768,429394279944000.0,0.8809149718167075,1.4963499918946228,5383.729069767442
2022-03-07 16:30:00,0.1246889848202116,0.9058216273156772,-0.0036598290598135,10078677803500.0,221730911677000.0,0.4507006832550597,0.7655591371691449,5352.289393939394
2022-03-07 17:00:00,-0.0688742753476045,0.709090909090909,0.0145499999999856,10147542098393.94,334868889247000.0,0.6826179721268586,1.1595109866729674,5326.101010101011
2022-03-07 17:30:00,-0.423179092660354,0.0912870929175276,0.00521999999998,10207872930000.0,81662983440000.0,0.1682328761967472,0.2857122535290512,5300.075
2022-03-07 18:00:00,-0.3263175203483621,0.6123724356957944,0.0064749999999946,10235549476333.334,61413296858000.0,0.1261746571475604,0.2142518416332762,5273.733333333334
2022-03-08 09:30:00,-0.3225569994956819,-0.0657951694959768,-0.0025545454545152,34322099166.666668,823730380000.0,0.1200089112926408,0.2043900386673124,4328.561805555556
2022-03-08 10:00:00,-0.4300694875833444,0.5529376854599413,0.0025328411426812,1225639057204.0574,1027085529937000.0,10.329236198506536,17.5456972225128,4302.109307875895
2022-03-08 10:30:00,-0.3966567500331328,0.5969926973790268,0.0027281933157468,3693325658987.391,3807818754416000.0,14.992336353410138,25.46664051395331,4276.333915292596
2022-03-08 11:00:00,-0.1440094882817981,0.646476917736897,0.0005544841012579,5929782022691.177,4032251775430000.0,9.873711332653237,16.771923112806654,4245.447103583701
2022-03-08 11:30:00,-0.0965501636404893,0.6216370019849291,0.004665974119419,7265801579061.047,2499435743197000.0,5.002292633921521,8.497125286932002,4215.48871124031
2022-03-08 12:00:00,-0.2490094339763014,0.025,0.0040666666666453,7786188232642.857,109006635257000.0,0.2035816769619223,0.3461299348465992,4193.140476190476
